from,to,label,sourceRelationship,sourceBaseClass,sourceDependentClass
ci-cluster-node,ci-f5-big-ip,Runs on,Hosted on (parent),Cluster Node,F5 BIG-IP
ci-virtual-machine-instance,ci-cloud-key-pair,Uses,Uses (parent),Virtual Machine Instance,Cloud Key Pair
ci-hyper-v-virtual-machine-instance,ci-hyper-v-server,Runs on,Registered on (parent),Hyper-V Virtual Machine Instance,Hyper-V Server
ci-availability-zone,ci-cloud-load-balancer,Contains,Contains (parent),Availability Zone,Cloud Load Balancer
ci-storage-server,ci-storage-cluster,Depends on,Managed by (parent),Storage Server,Storage Cluster
ci-jboss,ci-web-application,Contains,Contains (parent),JBoss,Web Application
ci-docker-container,ci-docker-local-image,Runs on,Instantiates (parent),Docker Container,Docker Local Image
ci-solaris-virtual-machine-instance,ci-zones,Runs on,Registered on (parent),Solaris Virtual Machine Instance,Zones
ci-resource-group,ci-cloud-network,Contains,Contains (parent),Resource Group,Cloud Network
ci-unix-cluster-resource,ci-unix-cluster-node,Depends on,Defines resources for (parent),UNIX Cluster Resource,UNIX Cluster Node
ci-unix-cluster-node,ci-cluster-virtual-ip,Uses,Uses (child),UNIX Cluster Node,Cluster Virtual IP
ci-aws-cloud-ecs-taskdefinition,ci-aws-cloud-ecs-service,Uses,Used by (child),AWS Cloud ECS TaskDefinition,AWS Cloud ECS Service
ci-cloud-service-account,ci-kubernetes-namespace,Contains,Hosts (child),Cloud Service Account,Kubernetes Namespace
ci-historian,ci-plc,Connects to,Connects to (parent),Historian,PLC
ci-aws-datacenter,ci-cloud-public-ip-address,Contains,Hosts (child),AWS Datacenter,Cloud Public IP Address
ci-aws-cloud-ecs-cluster,ci-aws-cloud-ecs-task,Runs on,Runs (child),AWS Cloud ECS Cluster,AWS Cloud ECS Task
ci-windows-cluster,ci-msft-sql-instance,Runs on,Runs (child),Windows Cluster,MSFT SQL Instance
ci-router-interface,ci-computer,Uses,Used by (child),Router Interface,Computer
ci-exit-interface-routing-rule,ci-hyper-v-server,Uses,Used by (child),Exit Interface Routing Rule,Hyper-V Server
ci-storage-device,ci-windows-server,Contains,Contained by (child),Storage Device,Windows Server
ci-openstack-datacenter,ci-storage-volume,Contains,Hosts (child),Openstack Datacenter,Storage Volume
ci-hardware,ci-dns-name,Depends on,Owns (parent),Hardware,DNS Name
ci-nat-gateway,ci-cloud-subnet,Uses,Used by (child),NAT Gateway,Cloud Subnet
ci-windows-server,ci-vmware-virtual-machine-instance,Runs on,Instantiated by (child),Windows Server,VMware Virtual Machine Instance
ci-storage-server,ci-storage-pool,Contains,Contains (parent),Storage Server,Storage Pool
ci-alteon,ci-load-balancer-interface,Depends on,Owns (parent),Alteon,Load Balancer Interface
ci-aws-datacenter,ci-cloud-image,Contains,Hosts (child),AWS Datacenter,Cloud Image
ci-application,ci-unique-certificate,Uses,Uses (parent),Application,Unique Certificate
ci-load-balancer-pool,ci-load-balancer-pool-member,Depends on,Owned by (child),Load Balancer Pool,Load Balancer Pool Member
ci-msft-sql-instance,ci-windows-cluster,Runs on,Runs on (parent),MSFT SQL Instance,Windows Cluster
ci-ip-address,ci-storage-server,Depends on,Owned by (child),IP Address,Storage Server
ci-kafka-broker,ci-kafka-consumer,Uses,Consumed by (parent),Kafka Broker,Kafka Consumer
ci-logical-datacenter,ci-kubernetes-cluster-role-binding,Contains,Hosts (child),Logical Datacenter,Kubernetes Cluster Role Binding
ci-aws-datacenter,ci-aws-cloud-ecs-taskdefinition,Contains,Hosts (child),AWS Datacenter,AWS Cloud ECS TaskDefinition
ci-kubernetes-deployment,ci-kubernetes-cluster,Runs on,Hosted on (parent),Kubernetes Deployment,Kubernetes Cluster
ci-api,ci-api-product-bundle,Contains,Contained by (child),API,API Product Bundle
ci-hpux-server,ci-file-system,Contains,Contains (parent),HPUX Server,File System
ci-cloud-network,ci-openstack-datacenter,Runs on,Hosted on (parent),Cloud Network,Openstack Datacenter
ci-aws-datacenter,ci-cloud-mgmt-network-interface,Contains,Hosts (child),AWS Datacenter,Cloud Mgmt Network Interface
ci-router-interface,ci-f5-big-ip,Uses,Used by (child),Router Interface,F5 BIG-IP
ci-rack,ci-data-center-zone,Contains,Contained by (child),Rack,Data Center Zone
ci-business-service,ci-ot-system-service,Uses,Used by (child),Business Service,OT System Service
ci-windows-server,ci-storage-hba,Depends on,Owns (parent),Windows Server,Storage HBA
ci-a10-load-balancer,ci-load-balancer-pool,Depends on,Owns (parent),A10 Load Balancer,Load Balancer Pool
ci-cloud-mgmt-network-interface,ci-google-datacenter,Runs on,Hosted on (parent),Cloud Mgmt Network Interface,Google Datacenter
ci-ibm-datacenter,ci-availability-zone,Contains,Contains (parent),IBM Datacenter,Availability Zone
ci-storage-volume,ci-virtual-machine-instance,Uses,Used by (child),Storage Volume,Virtual Machine Instance
ci-operational-technology-ot,ci-intrusion-detection-system,Depends on,Detected by (child),Operational Technology (OT),Intrusion Detection System
ci-route-table-endpoint,ci-cloud-subnet,Connects to,Use End Point From (child),Route Table Endpoint,Cloud Subnet
ci-ip-address,ci-aix-server,Depends on,Owned by (child),IP Address,AIX Server
ci-storage-hba,ci-linux-server,Depends on,Owned by (child),Storage HBA,Linux Server
ci-storage-cluster-node,ci-storage-node-element,Runs on,Hosted on (parent),Storage Cluster Node,Storage Node Element
ci-computer,ci-iscsi-disk,Contains,Contains (parent),Computer,iSCSI Disk
ci-disk,ci-windows-server,Contains,Contained by (child),Disk,Windows Server
ci-hyper-v-server,ci-nas-file-system,Contains,Contains (parent),Hyper-V Server,NAS File System
ci-information-object,ci-file-system,Depends on,Depends on (parent),Information Object,File System
ci-site,ci-server,Contains,Contained by (child),Site,Server
ci-memory-module,ci-computer,Contains,Contained by (child),Memory Module,Computer
ci-computer,ci-computer,Depends on,Depends on (parent),Computer,Computer
ci-computer,ci-rack,Depends on,Powered by (child),Computer,Rack
ci-server,ci-database,Contains,Hosts (child),Server,Database
ci-data-center,ci-computer-room,Contains,Located In (parent),Data Center,Computer Room
ci-cloud-subnet,ci-google-datacenter,Contains,Contained by (child),Cloud Subnet,Google Datacenter
ci-network-adapter,ci-storage-node-element,Depends on,Owned by (child),Network Adapter,Storage Node Element
ci-hyper-v-server,ci-iscsi-disk,Contains,Contains (parent),Hyper-V Server,iSCSI Disk
ci-database,ci-cluster,Contains,Member of (child),Database,Cluster
ci-computer,ci-cluster,Contains,Member of (child),Computer,Cluster
ci-computer-room,ci-zones,Contains,Located in (parent),Computer Room,Zones
ci-computer-room,ci-data-center,Contains,Houses (child),Computer Room,Data Center
ci-data-center-zone,ci-rack,Contains,Contains (parent),Data Center Zone,Rack
ci-data-center-zone,ci-computer-room,Contains,Contains Room (child),Data Center Zone,Computer Room
ci-rack,ci-computer,Depends on,Powers (parent),Rack,Computer
ci-server,ci-service,Uses,Used by (child),Server,Service
ci-firewall-device-group,ci-firewall-device,Contains,Members (parent),Firewall Device Group,Firewall Device
ci-disk,ci-storage-volume,Uses,Provides (parent),Disk,Storage Volume
ci-information-object,ci-business-application,Uses,Used by (child),Information Object,Business Application
ci-storage-node-element,ci-disk,Contains,Contains (parent),Storage Node Element,Disk
ci-router-interface,ci-ace,Uses,Used by (child),Router Interface,ACE
ci-kubernetes-deployment,ci-kubernetes-namespace,Contains,Contained by (child),Kubernetes Deployment,Kubernetes Namespace
ci-vnic-endpoint,ci-ovirt-virtual-machine-instance,Connects to,Use End Point From (child),VNIC Endpoint,oVirt Virtual Machine Instance
ci-network-adapter,ci-juniper-firewall-device,Depends on,Owned by (child),Network Adapter,Juniper Firewall Device
ci-ibm-zos-server,ci-file-system,Contains,Contains (parent),IBM zOS server,File System
ci-service,ci-server,Depends on,Depends on (parent),Service,Server
ci-exchange-mailbox,ci-information-object,Uses,Used by (child),Exchange MailBox,Information Object
ci-oci-datacenter,ci-cloud-image,Contains,Hosts (child),OCI Datacenter,Cloud Image
ci-ip-switch,ci-alteon,Connects to,IP Connection (child),IP Switch,Alteon
ci-firewall-manager,ci-firewall-device-group,Contains,Contains (parent),Firewall Manager,Firewall Device Group
ci-cloud-location-group,ci-availability-zone,Contains,Contained by (child),Cloud Location Group,Availability Zone
ci-fibre-channel-port,ci-solaris-server,Depends on,Owned by (child),Fibre Channel Port,Solaris Server
ci-load-balancer-pool-member,ci-load-balancer-pool,Depends on,Owns (parent),Load Balancer Pool Member,Load Balancer Pool
ci-hyper-v-storage,ci-hyper-v-storage-component,Depends on,Manages (child),Hyper-V Storage,Hyper-V Storage Component
ci-windows-server,ci-fibre-channel-port,Depends on,Owns (parent),Windows Server,Fibre Channel Port
ci-storage-server,ci-pure-storage-processor,Contains,Contains (parent),Storage Server,Pure Storage Processor
ci-ip-router,ci-next-hop-routing-rule,Uses,Uses (parent),IP Router,Next Hop Routing Rule
ci-google-datacenter,ci-virtual-machine-instance,Contains,Hosts (child),Google Datacenter,Virtual Machine Instance
ci-cloud-load-balancer,ci-aws-datacenter,Runs on,Hosted on (parent),Cloud Load Balancer,AWS Datacenter
ci-aws-datacenter,ci-cloud-network,Contains,Hosts (child),AWS Datacenter,Cloud Network
ci-storage-pool,ci-storage-node-element,Runs on,Hosted on (parent),Storage Pool,Storage Node Element
ci-network-adapter,ci-windows-server,Depends on,Owned by (child),Network Adapter,Windows Server
ci-google-organization-project,ci-cloud-service-account,Depends on,Owned by (child),Google Organization Project,Cloud Service Account
ci-hyper-v-server,ci-hyper-v-virtual-network,Uses,Provided by (child),Hyper-V Server,Hyper-V Virtual Network
ci-exit-interface-routing-rule,ci-windows-server,Uses,Used by (child),Exit Interface Routing Rule,Windows Server
ci-cloud-image,ci-virtual-machine-instance,Uses,Provisioned (child),Cloud Image,Virtual Machine Instance
ci-ibm-websphere-as,ci-web-service,Runs on,Runs (child),IBM WebSphere AS,Web Service
ci-cloudfoundry-space,ci-cloudfoundry-route,Connects to,Implement End Point From (child),CloudFoundry Space,CloudFoundry Route
ci-kafka-cluster,ci-kafka-topic,Uses,Provides (parent),Kafka Cluster,Kafka Topic
ci-kafka-consumer,ci-kafka-broker,Uses,Consumes (child),Kafka Consumer,Kafka Broker
ci-exit-interface-routing-rule,ci-linux-server,Uses,Used by (child),Exit Interface Routing Rule,Linux Server
ci-ip-switch,ci-router-interface,Uses,Uses (parent),IP Switch,Router Interface
ci-hyper-v-server,ci-ip-address,Depends on,Owns (parent),Hyper-V Server,IP Address
ci-kubernetes-pod,ci-cloud-service-account,Runs on,Hosted on (parent),Kubernetes Pod,Cloud Service Account
ci-iscsi-disk,ci-computer,Contains,Contained by (child),iSCSI Disk,Computer
ci-cisco-firewall-device,ci-ip-address,Depends on,Owns (parent),Cisco Firewall Device,IP Address
ci-alibaba-datacenter,ci-cloud-hardware-type,Contains,Hosts (child),Alibaba Datacenter,Cloud Hardware Type
ci-windows-cluster-resource,ci-windows-cluster,Depends on,Defines resources for (parent),Windows Cluster Resource,Windows Cluster
ci-storage-volume,ci-block-endpoint,Connects to,Implement End Point From (child),Storage Volume,Block Endpoint
ci-vmware-vcenter-network,ci-vmware-vcenter-datacenter,Contains,Contained by (child),VMware vCenter Network,VMware vCenter Datacenter
ci-block-endpoint,ci-virtual-machine-instance,Connects to,Use End Point From (child),Block Endpoint,Virtual Machine Instance
ci-aws-datacenter,ci-docker-container,Contains,Hosts (child),AWS Datacenter,Docker Container
ci-google-organization-folder,ci-google-organization-project,Contains,Contains (parent),Google Organization Folder,Google Organization Project
ci-ip-switch,ci-switch-forwarding-rule,Contains,Contains (parent),IP Switch,Switch Forwarding Rule
ci-block-endpoint,ci-storage-volume,Connects to,Implement End Point To (parent),Block Endpoint,Storage Volume
ci-dns-alias,ci-dns-name,Uses,Uses (child),DNS Alias,DNS Name
ci-load-balancer-pool,ci-ace,Depends on,Owned by (child),Load Balancer Pool,ACE
ci-cohesity-cluster,ci-cohesity-node,Contains,Cluster (child),Cohesity Cluster,Cohesity Node
ci-scada-server,ci-hmi,Connects to,Connected by (child),SCADA Server,HMI
ci-ip-address,ci-f5-big-ip,Depends on,Owned by (child),IP Address,F5 BIG-IP
ci-pure-storage-file-share,ci-storage-server,Uses,Provided By (parent),Pure Storage File Share,Storage Server
ci-switch-partition,ci-ip-switch,Contains,Contained by (child),Switch Partition,IP Switch
ci-logical-datacenter,ci-kubernetes-node-pool,Contains,Hosts (child),Logical Datacenter,Kubernetes Node Pool
ci-api,ci-api-component,Uses,Uses (parent),API,API Component
ci-storage-cluster,ci-storage-server,Runs on,Runs (child),Storage Cluster,Storage Server
ci-aws-cloud-ecs-cluster,ci-aws-cloud-ecs-service,Runs on,Runs (child),AWS Cloud ECS Cluster,AWS Cloud ECS Service
ci-hyper-v-virtual-network-component,ci-hyper-v-virtual-machine-instance,Connects to,Connects (child),Hyper-V Virtual Network Component,Hyper-V Virtual Machine Instance
ci-ip-switch,ci-linux-server,Connects to,IP Connection (child),IP Switch,Linux Server
ci-cluster-resource-group,ci-unix-cluster,Contains,Contained by (child),Cluster Resource Group,UNIX Cluster
ci-fortinet-firewall-device,ci-fortinet-firewall-cluster,Contains,Hosts (child),Fortinet Firewall Device,Fortinet Firewall Cluster
ci-a10-load-balancer,ci-network-adapter,Depends on,Owns (parent),A10 Load Balancer,Network Adapter
ci-ip-switch,ci-hpux-server,Connects to,IP Connection (child),IP Switch,HPUX Server
ci-availability-zone,ci-cloud-disk-type,Contains,Hosts (child),Availability Zone,Cloud Disk Type
ci-storage-server,ci-network-adapter,Depends on,Owns (parent),Storage Server,Network Adapter
ci-kubernetes-pod,ci-kubernetes-namespace,Contains,Contained by (child),Kubernetes Pod,Kubernetes Namespace
ci-kafka-topic,ci-kafka-cluster,Uses,Provided by (child),Kafka Topic,Kafka Cluster
ci-nutanix-host,ci-nutanix-cluster,Contains,Member of (child),Nutanix Host,Nutanix Cluster
ci-alteon,ci-router-interface,Uses,Uses (parent),Alteon,Router Interface
ci-esx-server,ci-vmware-vcenter-datacenter,Contains,Contained by (child),ESX Server,VMware vCenter Datacenter
ci-physical-connection,ci-network-topology,Contains,Member of (child),Physical connection,Network Topology
ci-router-interface,ci-citrix-netscaler,Uses,Used by (parent),Router Interface,Citrix Netscaler
ci-aws-datacenter,ci-customer-gateway,Contains,Hosts (child),AWS Datacenter,Customer Gateway
ci-ip-address,ci-radware-load-balancer,Depends on,Owned by (child),IP Address,Radware Load Balancer
ci-network-adapter,ci-storage-server,Depends on,Owned by (child),Network Adapter,Storage Server
ci-openstack-service,ci-openstack-endpoint,Connects to,Use End Point From (child),OpenStack Service,OpenStack Endpoint
ci-cloud-hardware-type,ci-alibaba-datacenter,Runs on,Hosted on (parent),Cloud Hardware Type,Alibaba Datacenter
ci-ibm-lpar-instance,ci-ibm-hmc-processor-pool,Contains,Member of (child),IBM LPAR Instance,IBM HMC Processor pool
ci-iscsi-endpoint,ci-storage-volume,Connects to,Implement End Point To (parent),ISCSI Endpoint,Storage Volume
ci-esx-server,ci-vmware-vcenter-cluster,Contains,Member of (child),ESX Server,VMware vCenter Cluster
ci-linux-server,ci-network-adapter,Depends on,Owns (parent),Linux Server,Network Adapter
ci-hyper-v-server,ci-storage-hba,Depends on,Owns (parent),Hyper-V Server,Storage HBA
ci-service,ci-business-application,Uses,Consumed by (child),Service,Business Application
ci-aws-kinesis,ci-aws-datacenter,Runs on,Hosted on (parent),AWS Kinesis,AWS Datacenter
ci-storage-pool,ci-nas-file-system,Uses,Provides (child),Storage Pool,NAS File System
ci-compute-security-group,ci-cloud-network,Contains,Contained by (child),Compute Security Group,Cloud Network
ci-fibre-channel-disk,ci-nas-file-system,Uses,Provided by (child),Fibre Channel Disk,NAS File System
ci-network-adapter,ci-ip-router,Depends on,Owned by (child),Network Adapter,IP Router
ci-aws-datacenter,ci-internet-gateway,Contains,Hosts (child),AWS Datacenter,Internet Gateway
ci-next-hop-routing-rule,ci-computer,Uses,Used by (child),Next Hop Routing Rule,Computer
ci-computer,ci-unix-cluster-node,Contains,Hosts (child),Computer,UNIX Cluster Node
ci-vmware-vcenter-instance,ci-vmware-vcenter-datacenter,Depends on,Manages (child),VMware vCenter Instance,VMware vCenter Datacenter
ci-kubernetes-namespace,ci-kubernetes-service,Contains,Contains (parent),Kubernetes Namespace,Kubernetes Service
ci-availability-zone,ci-storage-volume-snapshot,Contains,Zone contains (child),Availability Zone,Storage Volume Snapshot
ci-logical-connection,ci-network-topology,Contains,Member of (child),Logical connection,Network Topology
ci-availability-zone,ci-google-datacenter,Contains,Contained by (child),Availability Zone,Google Datacenter
ci-storage-volume,ci-openstack-datacenter,Runs on,Hosted on (parent),Storage Volume,Openstack Datacenter
ci-cloud-subnet,ci-cloud-load-balancer,Contains,Contains (parent),Cloud Subnet,Cloud Load Balancer
ci-cloud-database,ci-cloud-hardware-type,Uses,Provisioned From (parent),Cloud DataBase,Cloud Hardware Type
ci-industrial-drive,ci-ot-control-module,Depends on,Owned by (child),Industrial Drive,OT Control Module
ci-ibm-datacenter,ci-cloud-service-account,Runs on,Hosted on (parent),IBM Datacenter,Cloud Service Account
ci-kubernetes-service,ci-cloud-service-account,Runs on,Hosted on (parent),Kubernetes Service,Cloud Service Account
ci-dpu,ci-dcs,Connects to,Connected by (child),DPU,DCS
ci-cloud-subnet,ci-availability-zone,Contains,Contained by (child),Cloud Subnet,Availability Zone
ci-api-consumer-subscription,ci-api-product-bundle,Uses,Uses (child),API Consumer Subscription,API Product Bundle
ci-opc-client,ci-historian,Connects to,Connected by (child),OPC Client,Historian
ci-network-adapter,ci-computer,Depends on,Owned by (child),Network Adapter,Computer
ci-mssql-availability-group-listener,ci-mssql-availability-group,Uses,Used by (parent),MSSQL Availability Group Listener,MSSQL Availability Group
ci-service,ci-service,Depends on,Depends on (parent),Service,Service
ci-service,ci-service,Uses,Used by (child),Service,Service
ci-windows-server,ci-server,Runs on,Runs on (parent),Windows Server,Server
ci-server,ci-windows-server,Runs on,Runs (child),Server,Windows Server
ci-server,ci-mass-storage-device,Depends on,Receives data from (parent),Server,Mass Storage Device
ci-mass-storage-device,ci-server,Depends on,Sends data to (child),Mass Storage Device,Server
ci-windows-server,ci-service,Uses,Used by (child),Windows Server,Service
ci-service,ci-email-server,Depends on,Depends on (parent),Service,Email Server
ci-email-server,ci-service,Uses,Used by (child),Email Server,Service
ci-email-server,ci-email-server,Depends on,Depends on (parent),Email Server,Email Server
ci-email-server,ci-email-server,Uses,Used by (child),Email Server,Email Server
ci-email-server,ci-mass-storage-device,Depends on,Depends on (parent),Email Server,Mass Storage Device
ci-mass-storage-device,ci-email-server,Uses,Used by (child),Mass Storage Device,Email Server
ci-email-server,ci-mass-storage-device,Connects to,Connects to (parent),Email Server,Mass Storage Device
ci-mass-storage-device,ci-email-server,Connects to,Connected by (child),Mass Storage Device,Email Server
ci-service,ci-application,Depends on,Depends on (parent),Service,Application
ci-application,ci-service,Uses,Used by (child),Application,Service
ci-unix-server,ci-service,Uses,Used by (child),UNIX Server,Service
ci-service,ci-computer,Depends on,Depends on (parent),Service,Computer
ci-computer,ci-service,Uses,Used by (child),Computer,Service
ci-computer,ci-computer-peripheral,Depends on,Depends on (parent),Computer,Computer Peripheral
ci-computer-peripheral,ci-computer,Uses,Used by (child),Computer Peripheral,Computer
ci-application,ci-server,Runs on,Runs on (parent),Application,Server
ci-windows-server,ci-application,Runs on,Runs (child),Windows Server,Application
ci-windows-server,ci-network-gear,Connects to,Exchanges data with (parent),Windows Server,Network Gear
ci-network-gear,ci-windows-server,Connects to,Exchanges data with (child),Network Gear,Windows Server
ci-windows-server,ci-mass-storage-device,Depends on,Receives data from (parent),Windows Server,Mass Storage Device
ci-mass-storage-device,ci-windows-server,Depends on,Sends data to (child),Mass Storage Device,Windows Server
ci-service,ci-web-server,Depends on,Depends on (parent),Service,Web Server
ci-web-server,ci-service,Uses,Used by (child),Web Server,Service
ci-linux-server,ci-service,Uses,Used by (child),Linux Server,Service
ci-service,ci-network-gear,Connects to,Connects to (parent),Service,Network Gear
ci-network-gear,ci-service,Connects to,Connected by (child),Network Gear,Service
ci-service,ci-database,Depends on,Depends on (parent),Service,Database
ci-database,ci-service,Uses,Used by (child),Database,Service
ci-service,ci-network-gear,Depends on,Depends on (parent),Service,Network Gear
ci-network-gear,ci-service,Uses,Used by (child),Network Gear,Service
ci-database,ci-database,Runs on,Hosted on (parent),Database,Database
ci-database,ci-database,Contains,Hosts (child),Database,Database
ci-cluster,ci-unix-server,Contains,Members (parent),Cluster,UNIX Server
ci-unix-server,ci-cluster,Contains,Member of (child),UNIX Server,Cluster
ci-database,ci-cluster,Depends on,Depends on (parent),Database,Cluster
ci-cluster,ci-database,Uses,Used by (child),Cluster,Database
ci-unix-server,ci-mass-storage-device,Depends on,Depends on (parent),UNIX Server,Mass Storage Device
ci-mass-storage-device,ci-unix-server,Uses,Used by (child),Mass Storage Device,UNIX Server
ci-web-server,ci-linux-server,Runs on,Runs on (parent),Web Server,Linux Server
ci-linux-server,ci-web-server,Runs on,Runs (child),Linux Server,Web Server
ci-unix-server,ci-application,Runs on,Runs (child),UNIX Server,Application
ci-application,ci-database,Depends on,Depends on (parent),Application,Database
ci-database,ci-application,Uses,Used by (child),Database,Application
ci-database,ci-unix-server,Runs on,Runs on (parent),Database,UNIX Server
ci-unix-server,ci-database,Runs on,Runs (child),UNIX Server,Database
ci-unix-server,ci-network-gear,Connects to,Connects to (parent),UNIX Server,Network Gear
ci-network-gear,ci-unix-server,Connects to,Connected by (child),Network Gear,UNIX Server
ci-application,ci-service,Depends on,Sends data to (child),Application,Service
ci-service,ci-unix-server,Runs on,Runs on (parent),Service,UNIX Server
ci-unix-server,ci-service,Runs on,Runs (child),UNIX Server,Service
ci-ip-address,ci-ip-router,Depends on,Owned by (child),IP Address,IP Router
ci-chassis,ci-storage-node-element,Contains,Hosts (child),Chassis,Storage Node Element
ci-kubernetes-replicaset,ci-kubernetes-namespace,Contains,Contained by (child),Kubernetes ReplicaSet,Kubernetes Namespace
ci-resource-group,ci-virtual-private-gateway,Contains,Contains (parent),Resource Group,Virtual Private Gateway
ci-cloud-load-balancer,ci-load-balancer-pool,Uses,Uses (parent),Cloud Load Balancer,Load Balancer Pool
ci-a10-load-balancer,ci-a10-load-balancer-partition,Contains,Contains (parent),A10 Load Balancer,A10 Load Balancer Partition
ci-linux-server,ci-lvm-pool,Contains,Contains (parent),Linux Server,LVM Pool
ci-dns-name,ci-virtual-machine-instance,Contains,Contained by (child),DNS Name,Virtual Machine Instance
ci-ace,ci-load-balancer-interface,Depends on,Owns (parent),ACE,Load Balancer Interface
ci-a10-load-balancer,ci-ip-switch,Connects to,IP Connection (parent),A10 Load Balancer,IP Switch
ci-vmware-vcenter-network,ci-esx-server,Uses,Provided By (parent),VMware vCenter Network,ESX Server
ci-ip-address,ci-palo-alto-firewall-device,Depends on,Owned by (child),IP Address,Palo Alto Firewall Device
ci-avi-service-engine,ci-avi-controller,Contains,Contained by (child),AVI Service Engine,AVI Controller
ci-aws-datacenter,ci-cloud-hardware-type,Contains,Hosts (child),AWS Datacenter,Cloud Hardware Type
ci-windows-cluster,ci-windows-cluster-node,Contains,Cluster (child),Windows Cluster,Windows Cluster Node
ci-ibm-datacenter,ci-storage-volume-snapshot,Contains,Hosts (child),IBM Datacenter,Storage Volume Snapshot
ci-storage-volume,ci-ibm-datacenter,Runs on,Hosted on (parent),Storage Volume,IBM Datacenter
ci-storage-volume,ci-aws-datacenter,Runs on,Hosted on (parent),Storage Volume,AWS Datacenter
ci-solaris-server,ci-disk-partition,Contains,Contains (parent),Solaris Server,Disk Partition
ci-service,ci-unix-server,Depends on,Depends on (parent),Service,UNIX Server
ci-load-balancer-service,ci-windows-server,Routes to,Distributes (child),Load Balancer Service,Windows Server
ci-cloud-load-balancer,ci-ibm-datacenter,Runs on,Hosted on (parent),Cloud Load Balancer,IBM Datacenter
ci-dynamodb-table,ci-dynamodb-global-table,Contains,Cluster (child),DynamoDB Table,DynamoDB Global Table
ci-ip-address,ci-allocated-ip-address,Depends on,Managed by (parent),IP Address,Allocated IP Address
ci-a10-load-balancer,ci-load-balancer-service,Runs on,Runs (child),A10 Load Balancer,Load Balancer Service
ci-iscsi-disk,ci-file-system,Uses,Provides (parent),iSCSI Disk,File System
ci-service,ci-database-catalog,Depends on,Depends on (parent),Service,Database Catalog
ci-configuration-item,ci-cloud-system-management-agent,Runs on,Runs (child),Configuration Item,Cloud System Management Agent
ci-technology-management-service,ci-ot-system-service,Contains,Contained by (child),Technology Management Service,OT System Service
ci-cloud-load-balancer,ci-availability-zone,Contains,Contained by (child),Cloud Load Balancer,Availability Zone
ci-zoo-keeper-cluster-node,ci-kafka-zoo-keeper,Contains,Hosts (child),Zoo Keeper Cluster Node,Kafka Zoo Keeper
ci-ibm-hmc-processor-pool,ci-ibm-lpar-instance,Contains,Members (parent),IBM HMC Processor pool,IBM LPAR Instance
ci-ip-address,ci-solaris-server,Depends on,Owned by (child),IP Address,Solaris Server
ci-network-circuit,ci-sdwan-port,Connects to,Connected by (child),Network Circuit,SDWAN Port
ci-cluster,ci-database,Contains,Members (parent),Cluster,Database
ci-business-process-activity,ci-business-application,Uses,Uses (parent),Business Process Activity,Business Application
ci-resource-group,ci-deployed-marketplace-product,Contains,Contains (parent),Resource Group,Deployed Marketplace Product
ci-ovirt-server,ci-ovirt-cluster,Contains,Member of (child),oVirt Server,oVirt Cluster
ci-exit-interface-routing-rule,ci-ip-router,Uses,Used by (child),Exit Interface Routing Rule,IP Router
ci-load-balancer-interface,ci-load-balancer-vlan,Uses,Used by (child),Load Balancer Interface,Load Balancer VLAN
ci-exit-interface-routing-rule,ci-router-interface,Depends on,Owned by (child),Exit Interface Routing Rule,Router Interface
ci-compute-security-group,ci-resource-group,Contains,Contained by (child),Compute Security Group,Resource Group
ci-vmware-virtual-machine-instance,ci-vmware-vcenter-datastore,Depends on,Stored on (child),VMware Virtual Machine Instance,VMware vCenter Datastore
ci-ot-supervisory-system,ci-opc-client,Connects to,Connects to (parent),OT Supervisory System,OPC Client
ci-computer,ci-unix-cluster,Contains,Hosts (child),Computer,UNIX Cluster
ci-computer,ci-vmware-virtual-machine-instance,Runs on,Instantiates (parent),Computer,VMware Virtual Machine Instance
ci-oracle-golden-gate-extract-process,ci-oracle-golden-gate,Depends on,Manages (child),Oracle Golden Gate Extract Process,Oracle Golden Gate
ci-router-interface,ci-linux-server,Uses,Used by (child),Router Interface,Linux Server
ci-juniper-firewall-device,ci-router-interface,Uses,Uses (parent),Juniper Firewall Device,Router Interface
ci-cloud-service-account,ci-cloud-image,Contains,Hosts (child),Cloud Service Account,Cloud Image
ci-windows-server,ci-esx-server,Runs on,Virtualizes (child),Windows Server,ESX Server
ci-ot-control-module,ci-industrial-sensor,Depends on,Owns (parent),OT Control Module,Industrial Sensor
ci-a10-load-balancer,ci-ip-address,Depends on,Owns (parent),A10 Load Balancer,IP Address
ci-unix-cluster,ci-unix-cluster-resource,Depends on,Gets resources from (child),UNIX Cluster,UNIX Cluster Resource
ci-aws-datacenter,ci-storage-volume,Contains,Hosts (child),AWS Datacenter,Storage Volume
ci-vpn-connection,ci-aws-datacenter,Runs on,Hosted on (parent),VPN Connection,AWS Datacenter
ci-network-site,ci-network-topology,Connects to,Connects (child),Network Site,Network Topology
ci-oracle-golden-gate-replicat-process,ci-oracle-golden-gate,Depends on,Manages (child),Oracle Golden Gate Replicat Process,Oracle Golden Gate
ci-oracle-golden-gate,ci-oracle-golden-gate-extract-process,Depends on,Managed by (parent),Oracle Golden Gate,Oracle Golden Gate Extract Process
ci-cloudfoundry-space-service-instance,ci-cloudfoundry-space,Uses,Used by (child),CloudFoundry Space Service Instance,CloudFoundry Space
ci-kubernetes-cluster-role,ci-cloud-service-account,Runs on,Hosted on (parent),Kubernetes Cluster Role,Cloud Service Account
